,DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
19268,6,785,5226,DE,Condor Flugdienst,DE,Condor Flugdienst,14057,PDX,11760,FRA,626,5
19280,6,475,1679,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12264,IAD,15084,SXM,612,1
19281,6,799,1552,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12266,IAH,14838,SJO,626,1
19282,6,931,1552,UA,United Air Lines Inc.,UA,United Air Lines Inc.,14838,SJO,12266,IAH,626,1
19288,6,1443,4589,AF,Compagnie Natl Air France,AF,Compagnie Natl Air France,10920,CDG,13303,MIA,627,1
19295,6,737,1682,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,11032,CUN,13487,MSP,694,1
19313,6,547,1224,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,10717,BON,838,1
19330,6,747,4240,OS,Austrian Airlines,OS,Austrian Airlines,12478,JFK,15595,VIE,626,1
19331,6,729,4240,OS,Austrian Airlines,OS,Austrian Airlines,15595,VIE,12478,JFK,626,1
19367,6,659,6967,ET,Ethiopian Airlines,ET,Ethiopian Airlines,10162,ADD,12478,JFK,887,3
19393,6,565,2006,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,11433,DTW,14832,SJD,698,4
19394,6,759,2006,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14832,SJD,11433,DTW,698,4
19395,6,315,530,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,11433,DTW,16217,YUL,638,4
19419,6,857,1914,WS,Westjet,WS,Westjet,16257,YYC,10397,ATL,838,4
19423,6,1525,4948,AF,Compagnie Natl Air France,AF,Compagnie Natl Air France,11298,DFW,10920,CDG,627,5
19448,6,495,7153,KE,Korean Air Lines Co. Ltd.,KE,Korean Air Lines Co. Ltd.,10397,ATL,12277,ICN,637,5
19471,6,693,3283,BA,British Airways Plc,BA,British Airways Plc,10721,BOS,12966,LGW,889,1
19486,6,117,1463,NK,Spirit Air Lines,NK,Spirit Air Lines,10158,ACY,11032,CUN,698,1
19571,6,991,8569,QF,Qantas Airways Ltd.,QF,Qantas Airways Ltd.,11298,DFW,15092,SYD,889,2
19575,6,721,4649,AC,Air Canada,AC,Air Canada,12173,HNL,16271,YYZ,889,2
19593,6,267,655,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,13930,ORD,16149,YOW,629,3
19600,6,715,3925,AA,American Airlines Inc.,AA,American Airlines Inc.,14100,PHL,10517,BCN,887,3
19601,6,645,3728,AA,American Airlines Inc.,AA,American Airlines Inc.,14100,PHL,10920,CDG,887,3
