DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
7,12,121,KAH,Kenmore Air Harbor,KAH,Kenmore Air Harbor,11215,CXH,13002,LKE,40,4
7,0,5065,EB,WAMOS AIR SA,EB,WAMOS AIR SA,15113,SZX,10299,ANC,696,4
7,1193,3622,FI,Icelandair,FI,Icelandair,12651,KEF,14747,SEA,622,4
7,0,4343,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,13930,ORD,11760,FRA,819,5
7,0,6537,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,11193,CVG,13744,NRT,819,5
7,0,5451,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,13744,NRT,12892,LAX,819,5
7,523,1163,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,14771,SFO,16042,YEG,838,5
7,431,1163,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16042,YEG,14771,SFO,838,5
7,361,1759,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16042,YEG,10693,BNA,838,5
7,448,1759,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,10693,BNA,16042,YEG,838,5
7,1909,7305,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,12892,LAX,13408,MNL,359,5
7,1812,7305,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,13408,MNL,12892,LAX,359,5
7,0,3713,M6,Amerijet International,M6,Amerijet International,12957,LGG,12478,JFK,626,5
7,0,1014,M6,Amerijet International,M6,Amerijet International,13303,MIA,13269,MGA,624,5
7,0,1014,M6,Amerijet International,M6,Amerijet International,13269,MGA,13303,MIA,624,5
7,0,6427,JL,Japan Air Lines Co. Ltd.,JL,Japan Air Lines Co. Ltd.,11298,DFW,13744,NRT,887,4
7,0,6427,JL,Japan Air Lines Co. Ltd.,JL,Japan Air Lines Co. Ltd.,13744,NRT,11298,DFW,887,4
7,711,1014,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16097,YKF,14761,SFB,614,4
7,685,1014,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,14761,SFB,16097,YKF,614,4
7,699,2085,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,14262,PSP,16271,YYZ,838,4
7,479,2085,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16271,YYZ,14262,PSP,838,4
7,692,1214,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16271,YYZ,11697,FLL,838,4
7,753,1214,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,11697,FLL,16271,YYZ,838,4
7,592,1181,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16149,YOW,14761,SFB,838,4
7,783,1181,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,14761,SFB,16149,YOW,838,4
7,747,3867,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10292,AMS,12264,IAD,626,1
7,1369,4052,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11618,EWR,13518,MUC,624,1
7,1058,2186,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12990,LIR,11618,EWR,888,1
7,919,1685,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13252,MEX,13930,ORD,694,1
7,1311,6339,HY,Uzbekistan Airways,HY,Uzbekistan Airways,12478,JFK,15130,TAS,887,1
7,1366,6339,HY,Uzbekistan Airways,HY,Uzbekistan Airways,15130,TAS,12478,JFK,887,1
7,809,5302,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,12173,HNL,13408,MNL,696,1
7,941,5302,PR,Philippine Airlines Inc.,PR,Philippine Airlines Inc.,13408,MNL,12173,HNL,696,1
7,537,1764,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,11042,CLE,14293,PUJ,722,1
7,849,848,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,13303,MIA,14739,SDQ,722,1
7,1090,848,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,14739,SDQ,13303,MIA,722,1
7,831,1669,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,11292,DEN,11032,CUN,722,1
7,0,1172,FX,Federal Express Corporation,FX,Federal Express Corporation,16477,QRO,13244,MEM,626,1
7,0,3433,FX,Federal Express Corporation,FX,Federal Express Corporation,10299,ANC,13744,NRT,740,1
7,0,581,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,14022,PBC,13061,LRD,715,1
7,1400,4965,AA,American Airlines Inc.,AA,American Airlines Inc.,13156,MAD,11298,DFW,887,1
7,1144,2032,AA,American Airlines Inc.,AA,American Airlines Inc.,14293,PUJ,11298,DFW,614,1
7,1011,1893,AA,American Airlines Inc.,AA,American Airlines Inc.,12010,GUA,13930,ORD,614,1
7,766,2032,AA,American Airlines Inc.,AA,American Airlines Inc.,11298,DFW,14293,PUJ,614,1
7,699,1700,AA,American Airlines Inc.,AA,American Airlines Inc.,11298,DFW,12990,LIR,614,1
